crash_id,month,year,dayweek_text,time_text,crash_type,num_fatalities,speed_limit,state_name,sa4_name,lga_name,remoteness_name,road_type_name,christmas_period,easter_period,day_flag,time_of_day,load_ts
20241115,12,2024,Friday,04:00:00,Single,1,100,NSW,Riverina,Wagga Wagga,Inner Regional Australia,Arterial Road,Yes,No,Weekday,Night,2025-05-06T08:22:34
20241125,12,2024,Friday,06:15:00,Single,1,80,NSW,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Inner Regional Australia,Local Road,No,No,Weekday,Day,2025-05-06T08:22:34
20246013,12,2024,Friday,09:43:00,Single,1,50,TAS,Launceston and North East,Northern Midlands,Inner Regional Australia,Local Road,Yes,No,Weekday,Day,2025-05-06T08:22:34
20241002,12,2024,Friday,10:35:00,Single,1,100,NSW,New England and North West,Armidale,Outer Regional Australia,National or State Highway,No,No,Weekday,Day,2025-05-06T08:22:34
20243185,12,2024,Friday,13:00:00,Single,1,100,QLD,Toowoomba,Lockyer Valley,Inner Regional Australia,National or State Highway,No,No,Weekday,Day,2025-05-06T08:22:34
20244016,12,2024,Friday,13:39:00,Single,1,100,SA,Barossa - Yorke - Mid North,Wakefield,Outer Regional Australia,Sub-arterial Road,Yes,No,Weekday,Day,2025-05-06T08:22:34
20243168,12,2024,Friday,19:00:00,Single,1,60,QLD,Darling Downs - Maranoa,Southern Downs,Inner Regional Australia,Local Road,No,No,Weekend,Night,2025-05-06T08:22:34
20246003,12,2024,Friday,19:30:00,Single,1,50,TAS,Hobart,Brighton,Inner Regional Australia,Local Road,No,No,Weekend,Night,2025-05-06T08:22:34
20246001,12,2024,Friday,19:40:00,Single,1,100,TAS,Launceston and North East,West Tamar,Outer Regional Australia,National or State Highway,No,No,Weekend,Night,2025-05-06T08:22:34
20244081,12,2024,Friday,22:42:00,Single,1,50,SA,South Australia - South East,Mid Murray,Outer Regional Australia,Local Road,No,No,Weekend,Night,2025-05-06T08:22:34
20241087,12,2024,Friday,23:00:00,Single,1,70,NSW,Sydney - Outer West and Blue Mountains,Blue Mountains,Major Cities of Australia,National or State Highway,No,No,Weekend,Night,2025-05-06T08:22:34
20241054,12,2024,Friday,23:10:00,Single,1,110,NSW,Capital Region,Upper Lachlan,Inner Regional Australia,National or State Highway,No,No,Weekend,Night,2025-05-06T08:22:34
20244042,12,2024,Monday,01:00:00,Single,1,100,SA,South Australia - South East,Wattle Range,Outer Regional Australia,Local Road,No,No,Weekend,Night,2025-05-06T08:22:34
20243246,12,2024,Monday,09:00:00,Single,1,80,QLD,Cairns,Cairns,Outer Regional Australia,Collector Road,No,No,Weekday,Day,2025-05-06T08:22:34
20241101,12,2024,Monday,10:48:00,Single,1,60,NSW,Illawarra,Wollongong,Major Cities of Australia,National or State Highway,No,No,Weekday,Day,2025-05-06T08:22:34
20241216,12,2024,Monday,12:05:00,Single,1,60,NSW,Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia,Collector Road,Yes,No,Weekday,Day,2025-05-06T08:22:34
20241300,12,2024,Monday,13:58:00,Single,1,100,NSW,Hunter Valley exc Newcastle,Upper Hunter,Outer Regional Australia,National or State Highway,No,No,Weekday,Day,2025-05-06T08:22:34
20243007,12,2024,Monday,14:00:00,Single,1,100,QLD,Wide Bay,South Burnett,Outer Regional Australia,National or State Highway,Yes,No,Weekday,Day,2025-05-06T08:22:34
20241278,12,2024,Monday,14:43:00,Single,1,100,NSW,Central West,Mid-Western,Outer Regional Australia,Arterial Road,No,No,Weekday,Day,2025-05-06T08:22:34
20241149,12,2024,Monday,16:00:00,Single,1,40,NSW,Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,Collector Road,No,No,Weekday,Day,2025-05-06T08:22:34
20241068,12,2024,Saturday,03:30:00,Single,1,110,NSW,Murray,Greater Hume,Outer Regional Australia,National or State Highway,No,No,Weekend,Night,2025-05-06T08:22:34
20243273,12,2024,Saturday,04:00:00,Single,1,100,QLD,Darling Downs - Maranoa,Southern Downs,Outer Regional Australia,Local Road,No,No,Weekend,Night,2025-05-06T08:22:34
20244020,12,2024,Saturday,10:25:00,Single,1,100,SA,Barossa - Yorke - Mid North,Barossa,Inner Regional Australia,Sub-arterial Road,No,No,Weekend,Day,2025-05-06T08:22:34
20244055,12,2024,Saturday,10:36:00,Multiple,2,110,SA,South Australia - South East,Wattle Range,Outer Regional Australia,National or State Highway,Yes,No,Weekend,Day,2025-05-06T08:22:34
20241094,12,2024,Saturday,12:10:00,Single,1,50,NSW,Mid North Coast,Port Macquarie-Hastings,Inner Regional Australia,National or State Highway,Yes,No,Weekend,Day,2025-05-06T08:22:34
20243160,12,2024,Saturday,14:00:00,Multiple,2,100,QLD,Mackay - Isaac - Whitsunday,Mackay,Outer Regional Australia,National or State Highway,Yes,No,Weekend,Day,2025-05-06T08:22:34
20243209,12,2024,Saturday,14:00:00,Single,1,50,QLD,Cairns,Douglas,Outer Regional Australia,Local Road,Yes,No,Weekend,Day,2025-05-06T08:22:34
20244001,12,2024,Saturday,14:50:00,Single,1,100,SA,South Australia - South East,Yankalilla,Inner Regional Australia,Arterial Road,Yes,No,Weekend,Day,2025-05-06T08:22:34
20243243,12,2024,Saturday,15:00:00,Single,1,70,QLD,Logan - Beaudesert,Logan,Major Cities of Australia,Sub-arterial Road,No,No,Weekend,Day,2025-05-06T08:22:34
20246016,12,2024,Saturday,15:18:00,Single,1,100,TAS,Launceston and North East,Dorset,Outer Regional Australia,National or State Highway,No,No,Weekend,Day,2025-05-06T08:22:34
20241119,12,2024,Saturday,15:25:00,Multiple,2,100,NSW,New England and North West,Armidale,Inner Regional Australia,Local Road,No,No,Weekend,Day,2025-05-06T08:22:34
20241169,12,2024,Saturday,21:30:00,Single,1,80,NSW,Mid North Coast,Nambucca Valley,Inner Regional Australia,National or State Highway,No,No,Weekend,Night,2025-05-06T08:22:34
20241291,12,2024,Sunday,02:00:00,Single,1,110,NSW,Far West and Orana,Narromine,Outer Regional Australia,National or State Highway,No,No,Weekend,Night,2025-05-06T08:22:34
20243036,12,2024,Sunday,04:00:00,Single,1,100,QLD,Wide Bay,Fraser Coast,Inner Regional Australia,Local Road,No,No,Weekend,Night,2025-05-06T08:22:34
20244026,12,2024,Sunday,06:35:00,Single,1,50,SA,South Australia - Outback,Unincorporated SA,Very Remote Australia,Local Road,No,No,Weekend,Day,2025-05-06T08:22:34
20241077,12,2024,Sunday,08:09:00,Single,1,50,NSW,Illawarra,Shellharbour,Major Cities of Australia,Collector Road,No,No,Weekend,Day,2025-05-06T08:22:34
20241028,12,2024,Sunday,08:20:00,Single,1,50,NSW,Illawarra,Wollongong,Major Cities of Australia,Collector Road,No,No,Weekend,Day,2025-05-06T08:22:34
20241022,12,2024,Sunday,11:20:00,Single,1,100,NSW,New England and North West,Narrabri,Outer Regional Australia,Sub-arterial Road,No,No,Weekend,Day,2025-05-06T08:22:34
20243015,12,2024,Sunday,12:00:00,Single,1,60,QLD,Logan - Beaudesert,Logan,Inner Regional Australia,Local Road,No,No,Weekend,Day,2025-05-06T08:22:34
