person_id,crash_id,road_user,gender,age,age_group,load_ts
1,20241115,Driver,Male,74,65_to_74,2025-05-06T08:22:34
2,20241125,Driver,Female,19,17_to_25,2025-05-06T08:22:34
3,20246013,Driver,Female,33,26_to_39,2025-05-06T08:22:34
4,20241002,Driver,Female,32,26_to_39,2025-05-06T08:22:34
5,20243185,Passenger,Female,61,40_to_64,2025-05-06T08:22:34
6,20244016,Motorcycle rider,Male,47,40_to_64,2025-05-06T08:22:34
7,20243168,Passenger,Female,29,26_to_39,2025-05-06T08:22:34
8,20246003,Motorcycle rider,Male,19,17_to_25,2025-05-06T08:22:34
9,20246001,Driver,Female,55,40_to_64,2025-05-06T08:22:34
10,20244081,Driver,Female,45,40_to_64,2025-05-06T08:22:34
11,20241087,Pedestrian,Male,50,40_to_64,2025-05-06T08:22:34
12,20241054,Driver,Male,45,40_to_64,2025-05-06T08:22:34
13,20244042,Driver,Male,61,40_to_64,2025-05-06T08:22:34
14,20243246,Pedestrian,Male,74,65_to_74,2025-05-06T08:22:34
15,20241101,Driver,Male,25,17_to_25,2025-05-06T08:22:34
16,20241216,Pedestrian,Male,4,0_to_16,2025-05-06T08:22:34
17,20241300,Driver,Male,27,26_to_39,2025-05-06T08:22:34
18,20243007,Driver,Male,66,65_to_74,2025-05-06T08:22:34
19,20241278,Driver,Male,27,26_to_39,2025-05-06T08:22:34
20,20241149,Pedestrian,Female,65,65_to_74,2025-05-06T08:22:34
21,20241068,Driver,Male,32,26_to_39,2025-05-06T08:22:34
22,20243273,Driver,Male,25,17_to_25,2025-05-06T08:22:34
23,20244020,Motorcycle rider,Male,69,65_to_74,2025-05-06T08:22:34
24,20244055,Driver,Female,59,40_to_64,2025-05-06T08:22:34
25,20244055,Passenger,Female,68,65_to_74,2025-05-06T08:22:34
26,20241094,Motorcycle rider,Male,69,65_to_74,2025-05-06T08:22:34
27,20243160,Passenger,Female,68,65_to_74,2025-05-06T08:22:34
28,20243160,Driver,Male,76,75_or_older,2025-05-06T08:22:34
29,20243209,Motorcycle rider,Male,35,26_to_39,2025-05-06T08:22:34
30,20244001,Motorcycle rider,Male,55,40_to_64,2025-05-06T08:22:34
31,20243243,Motorcycle rider,Male,63,40_to_64,2025-05-06T08:22:34
32,20246016,Passenger,Female,66,65_to_74,2025-05-06T08:22:34
33,20241119,Pedal cyclist,Male,61,40_to_64,2025-05-06T08:22:34
34,20241119,Driver,Female,30,26_to_39,2025-05-06T08:22:34
35,20241169,Driver,Male,34,26_to_39,2025-05-06T08:22:34
36,20241291,Driver,Male,26,26_to_39,2025-05-06T08:22:34
37,20243036,Motorcycle rider,Male,46,40_to_64,2025-05-06T08:22:34
38,20244026,Pedestrian,Female,50,40_to_64,2025-05-06T08:22:34
39,20241077,Pedestrian,Female,85,75_or_older,2025-05-06T08:22:34
40,20241028,Driver,Female,92,75_or_older,2025-05-06T08:22:34
41,20241022,Driver,Male,76,75_or_older,2025-05-06T08:22:34
42,20243015,Motorcycle rider,Male,60,40_to_64,2025-05-06T08:22:34
43,20244023,Driver,Female,74,65_to_74,2025-05-06T08:22:34
44,20241098,Motorcycle rider,Male,26,26_to_39,2025-05-06T08:22:34
45,20243114,Driver,Female,60,40_to_64,2025-05-06T08:22:34
46,20243114,Passenger,Female,59,40_to_64,2025-05-06T08:22:34
47,20241040,Motorcycle rider,Male,45,40_to_64,2025-05-06T08:22:34
48,20241174,Driver,Female,90,75_or_older,2025-05-06T08:22:34
49,20241088,Driver,Male,32,26_to_39,2025-05-06T08:22:34
50,20241255,Driver,Male,49,40_to_64,2025-05-06T08:22:34
51,20241053,Driver,Male,21,17_to_25,2025-05-06T08:22:34
52,20241053,Passenger,Male,21,17_to_25,2025-05-06T08:22:34
53,20243046,Driver,Male,16,0_to_16,2025-05-06T08:22:34
54,20243046,Passenger,Female,22,17_to_25,2025-05-06T08:22:34
55,20241080,Driver,Female,21,17_to_25,2025-05-06T08:22:34
56,20243044,Passenger,Male,23,17_to_25,2025-05-06T08:22:34
57,20241274,Passenger,Female,80,75_or_older,2025-05-06T08:22:34
58,20243176,Passenger,Male,23,17_to_25,2025-05-06T08:22:34
59,20241181,Pedestrian,Female,64,40_to_64,2025-05-06T08:22:34
60,20243110,Driver,Female,17,17_to_25,2025-05-06T08:22:34
