crash_id,vehicle_type
20241068,bus
20241139,bus
20243008,bus
20241150,bus
20241211,bus
20241211,bus
20241132,bus
20243074,bus
20243139,bus
20243154,bus
20243154,bus
20243154,bus
20241065,bus
20243094,bus
20241130,bus
20241158,bus
20243228,bus
20231044,bus
20233073,bus
20233195,bus
20231245,bus
20233030,bus
20231157,bus
20231157,bus
20231157,bus
20231157,bus
20231157,bus
20231157,bus
20231157,bus
20231157,bus
20231157,bus
20231157,bus
20231080,bus
20231241,bus
20231054,bus
20221203,bus
20221082,bus
20227040,bus
20223209,bus
20221025,bus
20221256,bus
20221053,bus
20227021,bus
20222075,bus
20223269,bus
20221065,bus
20223237,bus
20221144,bus
20221182,bus
20223069,bus
20221041,bus
20217018,bus
20211185,bus
20215067,bus
20215147,bus
20215132,bus
20211162,bus
20213158,bus
20211257,bus
20212025,bus
20213021,bus
20214088,bus
20213147,bus
20214068,bus
20214033,bus
20202109,bus
20201201,bus
20203176,bus
20204005,bus
20205004,bus
20203148,bus
20201226,bus
20206018,bus
20206018,bus
20201241,bus
20203245,bus
20201181,bus
20204009,bus
20206029,bus
20191101,bus
20191195,bus
20191193,bus
20195091,bus
20195091,bus
20191244,bus
20195003,bus
20192030,bus
20191197,bus
20191042,bus
20194062,bus
20191145,bus
20191100,bus
20191053,bus
20191053,bus
20194063,bus
20183089,bus
20185139,bus
20181170,bus
20182019,bus
20186003,bus
20183031,bus
20181023,bus
20181073,bus
20182074,bus
20182045,bus
20181239,bus
20183166,bus
20183098,bus
20185061,bus
20181181,bus
20182016,bus
20181015,bus
20181252,bus
20183072,bus
20172220,bus
20172231,bus
20172231,bus
20177012,bus
20172125,bus
20173099,bus
20172217,bus
20175094,bus
20172185,bus
20173090,bus
20173023,bus
20173023,bus
20173023,bus
20171269,bus
20176016,bus
20177011,bus
20172176,bus
20172176,bus
20172176,bus
20173082,bus
20171166,bus
20171094,bus
20172105,bus
20175136,bus
20171075,bus
20171023,bus
20173087,bus
20173170,bus
20173032,bus
20173202,bus
20171330,bus
20164071,bus
20164059,bus
20161090,bus
20161170,bus
20161339,bus
20161300,bus
20165067,bus
20161289,bus
20166023,bus
20161326,bus
20165047,bus
20161315,bus
20161189,bus
20165161,bus
20161030,bus
20164018,bus
20161077,bus
20157019,bus
20157019,bus
20157019,bus
20152225,bus
20155116,bus
20152112,bus
20152142,bus
20151321,bus
20152069,bus
20152033,bus
20152033,bus
20156005,bus
20151143,bus
20151128,bus
20154055,bus
20158002,bus
20155087,bus
20151248,bus
20151242,bus
20152024,bus
20145139,bus
